product_name,category,num_reviews,rating,product_created,price_unit,,,,,
Sour Raspberry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Sour Raspberry Lemonade 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Sour Tropical Punch 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 16, 'label': 'each', 'onSale': False, 'originalPrice': 16}
Sour Watermelon 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Strawberry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Strawberry Lemonade 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 16, 'label': 'each', 'onSale': False, 'originalPrice': 16}
Sweet & Sour Cherry 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Tincture - 1:1 Relief - Orange Lemon 15mL,tincture,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 35, 'label': 'each', 'onSale': False, 'originalPrice': 35}
Tincture - 3:1 Calm - Honey Lemon 15mL,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 60, 'label': 'each', 'onSale': False, 'originalPrice': 60}
Tincture - Indica - Honey Lemon 15mL,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 25, 'label': 'each', 'onSale': False, 'originalPrice': 25}
Tropical Papaya Punch 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Tropical Punch Papaya 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 20, 'label': 'each', 'onSale': False, 'originalPrice': 20}
Watermelon 10pk,edibles,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 16, 'label': 'each', 'onSale': False, 'originalPrice': 16}
12mm Clear Chillum,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 5, 'label': 'each', 'onSale': False, 'originalPrice': 5}
Bamboo Rolling Station,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
Clear Umbrella Perc Rig,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 110, 'label': 'each', 'onSale': False, 'originalPrice': 110}
Dab Swabs,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 4, 'label': 'each', 'onSale': False, 'originalPrice': 4}
Eyce Silicone Hammer Bubbler,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 36, 'label': 'each', 'onSale': False, 'originalPrice': 36}
Eyce Silicone Spoon,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 18, 'label': 'each', 'onSale': False, 'originalPrice': 18}
Hemp Grinder - 2-Piece,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 8, 'label': 'each', 'onSale': False, 'originalPrice': 8}
Lighters - Assorted Colors,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 3, 'label': 'each', 'onSale': False, 'originalPrice': 3}
Mission Buttonless Vape Pen,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
OCB King Slim Papers,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 2, 'label': 'each', 'onSale': False, 'originalPrice': 2}
OCB Papers 1 1/4 inch,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 2, 'label': 'each', 'onSale': False, 'originalPrice': 2}
PAX Era Classic,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 30, 'label': 'each', 'onSale': False, 'originalPrice': 30}
PAX Era Pro - Black,gear,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 70, 'label': 'each', 'onSale': False, 'originalPrice': 70}
