Name,Flavour,Average Ratings,Category,Chemical Type,Energize Score,THC Potency,After Effects,Chemical Compound,Compound Description
og-skunk,OG Skunk,4.631578947,Hybrid,THC Dominant,0.229427078,slightly less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
lemon-royale,Lemon Royale,4.5,Hybrid,THC Dominant,0.909288986,slightly more,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
purple-zkittlez,Purple Zkittlez,4.333333333,Indica,THC Dominant,-1.300262215,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
allen-wrench,Allen Wrench,4.26344086,Sativa,THC Dominant,1.103535245,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
nightmare-cookies,Nightmare Cookies,4.611940299,Hybrid,THC Dominant,-0.017795434,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
green-dream,Green Dream,4.342245989,Hybrid,THC Dominant,1.038020234,slightly more,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
bonkers,Bonkers,4,Hybrid,THC Dominant,-0.110503876,more,euphoric,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
alien-technology,Alien Technology,4.5,Indica,THC Dominant,0.072535868,slightly less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
melon-gum,Melon Gum,4.315789474,Hybrid,THC Dominant,-0.07273377,less,relaxed,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
future,Future,4.76119403,Hybrid,THC Dominant,-0.069048882,more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
lychee,Lychee,4.571428571,,Unknown,,,,,
dragon-fruit,Dragon Fruit,4.434782609,Hybrid,THC Dominant,0.044010194,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
marmalade,Marmalade,4.666666667,Hybrid,THC Dominant,0.122080461,slightly less,relaxed,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
pinkman-goo,Pinkman Goo,4.619047619,Indica,Unknown,-0.14140669,,relaxed,,
pakistani-chitral-kush,Pakistani Chitral Kush,4.598130841,Indica,THC Dominant,-1.001357411,slightly less,relaxed,,
ringos-gift,Ringo's Gift,4.610687023,Hybrid,CBD Dominant,-0.089691777,,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
red-velvet-pie,Red Velvet Pie,5,Hybrid,THC Dominant,0.520796467,slightly more,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
purple-skunk,Purple Skunk,4.242424242,Hybrid,THC Dominant,0.276859304,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
tres-dawg,Tres Dawg,4.588235294,Hybrid,THC Dominant,-0.032058272,more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
princess,Princess,5,Sativa,THC Dominant,-0.790365784,less,euphoric,Myrcene,The most common terpene found in cannabis and has an earthy scent.
jupiter-og,Jupiter OG,4.323699422,Indica,THC Dominant,-0.819173492,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
oz-kush,OZ Kush,5,Hybrid,THC Dominant,-0.790365784,much more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
sour-kosher,Sour Kosher,4.476190476,Hybrid,THC Dominant,0.002806442,comparable,uplifted,Myrcene,The most common terpene found in cannabis and has an earthy scent.
purple-dragon,Purple Dragon,4.158227848,Indica,THC Dominant,-0.232578528,less,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
bear-dance,Bear Dance,4.590909091,Hybrid,THC Dominant,0.761492919,,happy,,
northernberry,Northern Berry,4.507692308,Indica,THC Dominant,-1.242172748,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
all-gas-og,All Gas OG,4,Hybrid,THC Dominant,-0.994324357,slightly more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
gorilla-blue,Gorilla Blue,4.636363636,Hybrid,THC Dominant,0.386318287,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
jamaican,Jamaican,4.323076923,Sativa,THC Dominant,0.528566317,less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
flo-white,Flo White,4.714285714,Hybrid,THC Dominant,-1.810158646,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
cherry-wine,Cherry Wine,4.736842105,Hybrid,CBD Dominant,-0.326823574,,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
grateful-breath,Grateful Breath,5,Hybrid,THC Dominant,-0.903676102,more,relaxed,Ocimene,"Sweet, floral terpene that is commonly used in perfumes."
outlaw,Outlaw,4.571428571,Sativa,THC Dominant,0.414843962,,uplifted,,
durban-kush,Durban Kush,4.555555556,Hybrid,THC Dominant,0.229427078,comparable,happy,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
pai-gow,Pai Gow,5,Hybrid,Unknown,0.229427078,,uplifted,,
blueberry-pancakes,Blueberry Pancakes,4.519230769,Hybrid,THC Dominant,-0.544208886,slightly more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
purple-widow,Purple Widow,4.5,Hybrid,THC Dominant,-0.178490067,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
slimer-og,Slimer OG,4.529411765,Hybrid,Unknown,-0.280469353,,euphoric,,
blue-power,Blue Power,4.490909091,Indica,THC Dominant,-0.405853722,slightly less,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
spiked-punch,Spiked Punch,4.533333333,Hybrid,Unknown,-0.326823574,,euphoric,,
ace-of-spades,Ace of Spades,4.074850299,Indica,THC Dominant,-0.414652625,slightly less,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
nebula,Nebula,4.31316726,Hybrid,THC Dominant,0.933483359,more,happy,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
grapefruit-kush,Grapefruit Kush,4.292307692,Hybrid,THC Dominant,0.343312575,comparable,happy,,
white-og,White OG,4.533333333,Indica,THC Dominant,-0.563745148,slightly more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
captain-crunch,Captain Crunch,4.7,Hybrid,THC Dominant,-0.280469353,slightly less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
pine-tar-kush,Pine Tar,4.413793103,Indica,THC Dominant,-0.405853722,more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
future-1,Future #1,5,Hybrid,THC Dominant,0.229427078,much more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
vortex,Vortex,4.3125,Sativa,THC Dominant,1.342556913,slightly less,euphoric,Myrcene,The most common terpene found in cannabis and has an earthy scent.
lemongrass,Lemongrass,4.454545455,Hybrid,THC Dominant,1.589150893,comparable,creative,Myrcene,The most common terpene found in cannabis and has an earthy scent.
banana-pudding,Banana Pudding,4.428571429,Hybrid,Unknown,0.739323509,,relaxed,,
rockstar-kush,Rockstar Kush,4.175824176,Indica,THC Dominant,-0.925055407,,relaxed,,
critical-jack,Critical Jack,4.25433526,Hybrid,THC Dominant,0.829305232,slightly less,happy,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
100-og,$100 OG,2.842519685,Hybrid,THC Dominant,1.268756201,comparable,euphoric,Myrcene,The most common terpene found in cannabis and has an earthy scent.
hibiscus-sunrise,Hibiscus Sunrise,4.411764706,Hybrid,THC Dominant,0.495459998,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
point-break,Point Break,4.611111111,Indica,THC Dominant,-0.868811389,comparable,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
platinum-garlic,Platinum Garlic,4.727272727,Hybrid,THC Dominant,-0.711920179,more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
sour-papaya,Sour Papaya,4.111111111,Hybrid,Unknown,-0.994324357,,relaxed,,
rare-dankness-1,Rare Dankness #1,4.862068966,Indica,Unknown,-0.877776601,,relaxed,,
orange-haze,Orange Haze,4.154320988,Hybrid,THC Dominant,0.862401957,slightly more,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
critical-purple-kush,Critical Purple Kush,4.583333333,Hybrid,THC Dominant,-1.810158646,slightly less,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
white-fire-alien-og,White Fire Alien OG,4.43697479,Hybrid,THC Dominant,-0.205238732,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
squirt,Squirt,4.375,Hybrid,THC Dominant,1.686274023,comparable,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
tropicana-kush,Tropicana Kush,5,Hybrid,THC Dominant,0.229427078,slightly less,uplifted,,
honey-boo-boo,Honey Boo Boo,4.597014925,Indica,THC Dominant,-0.697657342,less,relaxed,,
grape-cookies,Grape Cookies,4.657142857,Indica,THC Dominant,-0.597431999,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
cookie-breath,Cookie Breath,4.625,Hybrid,Unknown,0.440418704,,happy,,
white-nightmare,White Nightmare,4.625,Sativa,THC Dominant,1.005552618,more,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
pink-panther,Pink Panther,4.451612903,Hybrid,THC Dominant,0.252343771,slightly more,happy,,
